#STEM=missing_fw_configs
#VERSION=v20260715
#SOURCE=fw-inv-3-26.csv (748 devices) cross-referenced against fw_config_manifest_v20260715.csv (940 files / 703-device estate)
#ROWS=292
#NOTE=Matching is hostname-based (exact + substring, domain-suffix stripped). Devices with blank hostname in inventory were skipped, not counted as missing.
hostname,ip,vendor,model,tenant,category,status,decommission_status,manager,gap_reason
azhub015-egress-use2-vmss_0,10.229.6.196,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub015-egress-use2-vmss_1,10.229.6.198,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,FALSE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub015-egress-use2-vmss_2,10.229.6.200,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub015-egress-use2-vmss_3,10.229.6.202,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-DR-shubegress-ftd-01,10.174.147.141,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-DR-shubegress-ftd-02,10.174.147.145,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-DR-shubegress-ftd-03,10.174.147.21,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-DR-shubegress-ftd-04,10.174.147.25,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-DR-shubingress-ftd-01,10.174.128.141,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
eclawseast-DR-shubingress-ftd-02,10.174.128.145,cisco,Cisco Firepower Threat Defense for AWS,PCI Cloud,Virtual,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
